parent_id	parent_published	parent_title	result_id	system	version	claim	metric_scope	qualifying_basis	primary_source	artifact_status	disposition_code	disposition	source_card	class_definition
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:leidos-v1.0.4	Leidos	v1.0.4	99.2% non-adversarial and 97.6% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	https://aclanthology.org/2025.genaidetect-1.39/	Primary system PDF preserved; no official trained checkpoint or detector repository was found.	retain_reject	MC (v1.0.4) is the official paper's unweighted multiclass DistilRoBERTa classifier; it has no frozen model, calibration artifact, cross-benchmark screen, or inference timing.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:lux-finetuned-rb	LuxVeri fine-tuned RoBERTa-base	Task 3 submission	98.8% Abstracts TPR and 100.0% zero-width-attack TPR but 81.3%/80.1% official aggregates	RAID Task 3 Tables 4-5	Domain and attack fixed-FPR cells exceed 0.90	https://aclanthology.org/2025.genaidetect-1.41/	Primary system PDF is preserved; the fine-tuned submitted checkpoint and domain thresholds are not public.	reconstruction_only	Two isolated high slices do not overcome weak official aggregates or permit a frozen cross-distribution and speed screen.	Embedded source card E1	only a non-paper-state reconstruction can be built
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:lux-radar-r-l	LuxVeri Radar & R-L	Task 3 ensemble	91.6% News TPR and 91.3% zero-width-attack TPR but 71.5%/65.5% official aggregates	RAID Task 3 Tables 4-5	Domain and attack fixed-FPR cells exceed 0.90	https://aclanthology.org/2025.genaidetect-1.41/	Primary system PDF is preserved; no exact component states, ensemble calibration, or timing is released.	reconstruction_only	The two narrow high cells sit beside severe aggregate failure, and no immutable ensemble can be evaluated under the fixed constraints.	Embedded source card E1	only a non-paper-state reconstruction can be built
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:lux-rb-roai	LuxVeri R-B & R-Oai	non-adversarial ensemble	99.2% TPR on Abstracts but 82.6% official aggregate	RAID Task 3 Table 4	One domain fixed-FPR cell exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.41/	Primary system PDF is preserved; no submitted ensemble weights, inverse-perplexity calibration, or timing is released.	reconstruction_only	The isolated high domain result accompanies weak cross-domain performance; rebuilding the ensemble would not reproduce the submitted state.	Embedded source card E1	only a non-paper-state reconstruction can be built
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:lux-roai-bert	LuxVeri R-Oai & BERT	non-adversarial ensemble	97.0% TPR on Abstracts and 91.8% on News but 82.5% official aggregate	RAID Task 3 Table 4	Domain fixed-FPR cells exceed 0.90	https://aclanthology.org/2025.genaidetect-1.41/	Primary system PDF is preserved; no submitted ensemble state, threshold artifact, or inference timing is released.	reconstruction_only	High cells on two domains coexist with a weak aggregate and no exact public state or transferable fixed calibration.	Embedded source card E1	only a non-paper-state reconstruction can be built
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:mosaic-5	MOSAIC-5	Task 3 submission	90.2% TPR on homoglyph attacks but 74.5% non-adversarial and 69.4% adversarial aggregates	RAID Task 3 Tables 4-5	One attack fixed-FPR cell exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.44/	Primary system PDF is preserved; no immutable four-model ensemble package, threshold set, or timing is released.	retain_reject	The threshold-equal attack slice accompanies weak aggregates and a multi-model cost profile without a reproducible state or speed basis.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:openai-roberta-large	OpenAI RoBERTa-large detector	Task 3 baseline	99.9% TPR on zero-width attacks but 55.7% non-adversarial and 51.3% adversarial aggregates	RAID Task 3 Tables 4-5	One attack fixed-FPR cell exceeds 0.90	https://huggingface.co/openai-community/roberta-large-openai-detector	An official public checkpoint exists, but the Task 3 evaluation adds no new trained state, calibration bundle, or timing.	existing_control	The old GPT-2-aligned classifier is near chance overall despite one attack cell and cannot be promoted as a newest general detector.	Embedded source card E1	already assessed public method retained only as a control
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:pangram	Pangram	Task 3 submission	99.3% non-adversarial and 97.7% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	https://aclanthology.org/2025.genaidetect-1.40/	Primary system PDF preserved; service/model state is not publicly downloadable.	retain_reject	The paper's data-pipeline section describes header removal and Unicode normalization before tokenization but does not specify whether deployed inference transforms targets; closed state, absent calibration artifacts, and absent comparable timing prevent a frozen screen.	Embedded source card E1	individually reviewed result fails one or more fixed evidence gates
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:ustc-bupt-r-l-focal-loss	USTC-BUPT R-L Focal Loss	Task 3 submission	98.1% non-adversarial and 92.7% adversarial TPR at 5% FPR	RAID cross-domain Task 3 Tables 4-5	Both fixed-FPR aggregates exceed 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	No separate official system paper, repository, or trained checkpoint was found in the overview bibliography or bounded exact-title/team search.	primary_absent	A RoBERTa-large focal-loss summary is insufficient to reconstruct the submitted state or establish calibration, two-A6000 fit, or speed.	Embedded source card E1	no separate public primary system paper or state was found
2501.08913	2025-01-15	GenAI Content Detection Task 3: Cross-Domain Machine-Generated Text Detection Challenge	2501.08913:ustc-roberta-dataaug	USTC-BUPT Roberta_dataaug.	Task 3 submission	98.8% TPR on Recipes but 30.8% non-adversarial and 27.6% adversarial aggregates	RAID Task 3 Tables 4-5	One domain fixed-FPR cell exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The overview bibliography and bounded exact team/system searches expose no separate paper, repository, checkpoint, or threshold for this version.	primary_absent	One training-aligned domain result beside near-chance aggregates cannot establish a reproducible detector, calibration, fit, or speed.	Embedded source card E1	no separate public primary system paper or state was found
2501.09813	2025-01-16	Qwen it detect machine-generated text?	2501.09813:qwen2.5-0.5b	Qwen2.5-0.5B causal classifier	Unibuc English submission	0.966 validation macro F1 and nearly 100% accuracy on NLPeer sources, but 0.8301 official test macro F1	Training validation Table 2, test Figure 3, and official Table 3	Validation metric and named test-source accuracy exceed 0.90	https://aclanthology.org/2025.genaidetect-1.16/	Primary paper and official source repository are public and preserved, but the repository contains code/configuration rather than the trained submitted weights or frozen threshold.	reject_scope	The paper itself warns that small-source results can look inflated; high validation/source cells cannot replace the 0.8301 official aggregate or missing state and timing.	Embedded source card E24	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-aaig	AAIG	English rank-8 submission	97.2% PeerReview accuracy; 78.74% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.23/	Primary system paper is public and preserved; no trained submitted decoder ensemble, calibration artifact, or inference timing is released.	reject_scope	The high PeerReview cell is domain-specific beside 0.7874 overall macro F1 and cannot support promotion without a frozen state and transfer screen.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-advacheck	Advacheck	English rank-1 submission	97.2% PeerReview accuracy; 83.07% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.26/	Primary system paper is public and preserved; no trained submission checkpoint, frozen threshold package, or inference timing is released.	reject_scope	The high in-domain PeerReview slice accompanies 0.8307 overall macro F1 and no reusable state, low-FPR transfer, two-A6000 measurement, or speed evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-alfa	Alfa	English rank-10 submission	93.2% PeerReview accuracy; 75.37% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	A single high in-domain cell and 0.7537 overall macro F1 cannot be reconstructed or assessed for method eligibility, fit, calibration, or speed.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-azlearning	azlearning	English rank-13 submission	92.2% PeerReview accuracy; 74.14% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	A high PeerReview slice and 0.7414 overall macro F1 cannot establish mechanism eligibility, reproducibility, two-A6000 fit, or speed.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-baseline	RoBERTa baseline	official English baseline	92.2% PeerReview accuracy; 73.42% official macro F1	English Tables 3, 4, and 8	PeerReview domain accuracy exceeds 0.90	https://arxiv.org/abs/2501.11012	The overview specifies RoBERTa fine-tuning but releases no immutable trained baseline checkpoint, frozen threshold, or inference record.	reconstruction_only	The task-aligned baseline's high domain cell accompanies 0.7342 overall macro F1; reconstructing it would not provide independent transfer evidence.	Embedded source card E23	only a non-paper-state reconstruction can be built
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-dcbu	DCBU	English rank-9 submission	96.9% PeerReview accuracy; 77.13% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.12/	Primary system paper is public and preserved; no trained semantic/probabilistic submission package, threshold, or inference timing is released.	reject_scope	The 0.969 in-domain slice accompanies only 0.7713 overall macro F1 and lacks frozen, low-FPR, cross-distribution, and speed evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-fraunhofer-sit	Fraunhofer SIT	English rank-3 submission	92.1% PeerReview accuracy; 82.80% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.17/	Primary system paper is public and preserved; no trained adapter-fusion submission state, calibration artifact, or inference timing is released.	reject_scope	One in-domain high slice does not offset 0.8280 overall macro F1 or establish reproducible cross-domain low-FPR accuracy, fit, or speed.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-grape	Grape	English rank-4 submission	97.4% PeerReview accuracy; 81.88% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.22/	Primary system paper is public and preserved; no immutable submitted compact-model ensemble, threshold package, or timing is released.	reject_scope	The narrow high cell accompanies 0.8188 overall macro F1 and no fixed detector state or like-for-like low-FPR and near-Binoculars screen.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-honghanhh	honghanhh	English rank-14 submission	92.2% PeerReview accuracy; 73.94% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	The narrow 0.922 cell and 0.7394 overall macro F1 cannot be promoted or scientifically screened without any primary system evidence.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-l3i-plus-plus	L3i++	English rank-11 submission	92.5% PeerReview accuracy; 74.63% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.13/	Primary system paper is public and preserved; no trained label-supervised LLaMA submission state, calibration artifact, or inference timing is released.	reject_scope	The narrow domain accuracy accompanies 0.7463 overall macro F1; an unfrozen LLaMA state has no broad low-FPR or near-Binoculars speed basis.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-luxveri	LuxVeri	English rank-12 submission	95.2% PeerReview accuracy; 74.58% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.21/	Primary system paper is public and preserved; no trained inverse-perplexity ensemble package, threshold artifact, or inference timing is released.	reject_scope	The 0.952 cell is training-domain-specific beside 0.7458 overall macro F1, and the unfrozen ensemble has no plausible fixed speed comparison.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-rockstart	rockstart	English rank-16 submission	90.3% PeerReview accuracy; 72.24% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	The 0.903 in-domain cell with 0.7224 overall macro F1 cannot be assessed as a general fast detector in the absence of primary artifacts.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-szegedai	SzegedAI	English rank-7 submission	97.2% PeerReview accuracy; 79.10% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.15/	Primary system paper is public and preserved; no trained soft-voting submission ensemble, calibration artifact, or inference timing is released.	reject_scope	The isolated in-domain result accompanies 0.7910 overall macro F1 and no frozen state, low-FPR generalization, or two-A6000 speed evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-techexperts-ipn	TechExperts(IPN)	English rank-5 submission	95.5% PeerReview accuracy; 81.53% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.14/	Primary system paper is public and preserved; no trained submission checkpoint, independent calibration artifact, or inference timing is released.	reject_scope	The high training-aligned slice accompanies 0.8153 overall macro F1 and lacks a frozen state, broad low-FPR transfer, or speed basis.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-turquaz	TurQUaz	English rank-6 submission	96.9% PeerReview accuracy; 80.68% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.24/	Primary system paper is public and preserved; no trained fine-tuned submission state, fixed threshold package, or inference timing is released.	reject_scope	A 0.969 in-domain accuracy slice with 0.8068 overall macro F1 cannot establish a general fast detector without a public state and transfer evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-unibuc-nlp	Unibuc-NLP	English rank-2 submission	94.1% PeerReview accuracy; 83.01% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.16/	Primary system paper is public and preserved; no trained Qwen submission state, threshold package, or inference timing is released.	reject_scope	The high training-aligned domain slice accompanies 0.8301 overall macro F1 and no frozen state, low-FPR transfer, or near-Binoculars deployment evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:english-vx1291	VX1291	English rank-15 submission	90.8% PeerReview accuracy; 72.93% official macro F1	English Tables 4 and 8	PeerReview domain accuracy exceeds 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	A barely qualifying in-domain slice and 0.7293 overall macro F1 leave no reproducible method, calibration, fit, or speed evidence.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-abit7431	abit7431	multilingual rank-9 submission	94.7% Essay, 94.5% QA, and 93.1% original-prompt accuracy; 72.65% official macro F1	Multilingual Tables 6 and 9-11	Domain and prompt-group cells exceed 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	The high cells coexist with 0.7265 overall macro F1 and cannot be reproduced or evaluated against the fixed method and deployment gates.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-azlearning	azlearning	multilingual rank-6 submission	95.5% Tweet, 95.1% QA, and 93.5% German accuracy; 74.36% official macro F1	Multilingual Tables 6 and 9-11	Domain and language cells exceed 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	The narrow high cells and 0.7436 overall macro F1 cannot establish method eligibility, reproducibility, calibration, fit, or speed.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-baseline	XLM-RoBERTa baseline	official multilingual baseline	97.7% Essay and 94.4% Tweet accuracy; 74.16% official macro F1	Multilingual Tables 3, 6, and 9-11	Multiple domain cells exceed 0.90	https://arxiv.org/abs/2501.11012	The overview specifies XLM-RoBERTa fine-tuning but releases no immutable trained baseline checkpoint, multilingual thresholds, or inference record.	reconstruction_only	Training-aligned high domain cells accompany 0.7416 overall macro F1; reconstructing the baseline would not supply independent transfer evidence.	Embedded source card E23	only a non-paper-state reconstruction can be built
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-bennben	bennben	multilingual rank-18 submission	97.7% Essay, 92.2% QA, and 91.6% fill-gap accuracy; 69.13% official macro F1	Multilingual Tables 6 and 9-11	Domain and prompt-group cells exceed 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	High narrow slices and 0.6913 overall macro F1 cannot be mapped to a reproducible method, state, threshold, hardware, or speed.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-fangsifan	fangsifan	multilingual rank-19 submission	99.1% Essay and QA, 95.1% original-prompt, and 94.9% fill-gap accuracy; 68.60% official macro F1	Multilingual Tables 6 and 9-11	Domain and prompt-group cells exceed 0.90	NONE_AFTER_BOUNDED_PUBLIC_SEARCH	The official overview supplies no manuscript, method description, repository, checkpoint, threshold, hardware, or timing for this submission.	primary_absent	Near-perfect task slices beside 0.6860 overall macro F1 are retained but cannot support a detector claim without primary evidence.	Embedded source card E23	no separate public primary system paper or state was found
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-fraunhofer-sit	Fraunhofer SIT	multilingual rank-10 submission	95.4% QA, 94.2% Essay, and 93.0% original-prompt accuracy; 72.58% official macro F1	Multilingual Tables 6 and 9-11	Domain and prompt-group cells exceed 0.90	https://aclanthology.org/2025.genaidetect-1.17/	Primary system paper is public and preserved; no trained adapter-fusion submission state, multilingual calibration, or inference timing is released.	reject_scope	Narrow high task slices coexist with 0.7258 overall macro F1 and no frozen broad low-FPR, two-A6000, or speed evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
2501.11012	2025-01-19	GenAI Content Detection Task 1: English and Multilingual Machine-Generated Text Detection: AI vs. Human	2501.11012:multilingual-grape	Grape	multilingual rank-1 submission	99.3% Essay and 98.9% QA accuracy; 79.16% official macro F1	Multilingual Tables 6 and 9-11	At least one domain accuracy exceeds 0.90	https://aclanthology.org/2025.genaidetect-1.22/	Primary system paper is public and preserved; no immutable submitted ensemble, multilingual thresholds, or inference timing is released.	reject_scope	Near-perfect familiar-domain cells coexist with 0.7916 overall macro F1 and no frozen cross-language low-FPR or speed evidence.	Embedded source card E23	result is restricted to a language, domain, task, or metric outside DW1
