parent_id	account_id	system	account_kind	evidence_locator	qualifying_evidence
2608.01046	2608.01046:roberta-finetuned	Fine-tuned RoBERTa-Sentinel	primary_result	Primary PDF full text and all main/appendix result tables	main comparison and class tables; fine-tuned DeBERTa AUC 0.9953/F1 0.976, RoBERTa F1 0.953, TF-IDF+LogReg AUC 0.936, and zero-shot DeBERTa machine recall above 0.90 despite poor balance
2608.01046	2608.01046:tfidf-logreg	TF-IDF logistic regression	primary_result	Primary PDF full text and all main/appendix result tables	main comparison and class tables; fine-tuned DeBERTa AUC 0.9953/F1 0.976, RoBERTa F1 0.953, TF-IDF+LogReg AUC 0.936, and zero-shot DeBERTa machine recall above 0.90 despite poor balance
2608.01046	2608.01046:deberta-zeroshot	Zero-shot DeBERTa-Sentinel	primary_result	Primary PDF full text and all main/appendix result tables	main comparison and class tables; fine-tuned DeBERTa AUC 0.9953/F1 0.976, RoBERTa F1 0.953, TF-IDF+LogReg AUC 0.936, and zero-shot DeBERTa machine recall above 0.90 despite poor balance
2607.22026	2607.22026:multilevel-energy	DWT multilevel detail energy	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:energy-norm	DWT normalized energy	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:window-std	DWT windowed coefficient standard deviation	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:equal-hard	DWT equal-weight hard voting	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:equal-soft	DWT equal-weight soft voting	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:calibrated-hard	DWT calibration-weighted hard voting	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.22026	2607.22026:calibrated-soft	DWT calibration-weighted soft voting	primary_result	Primary PDF full text and all main/appendix result tables	main scalar-score and voting tables plus proxy/wavelet sensitivity; HC3 best individual 0.9876 AUROC and calibrated hard vote 0.9919, with much weaker M4/MAGE rows
2607.17382	2607.17382:modernbert-large	DACTYL ModernBERT-large	primary_result	Primary PDF full text and all main/appendix result tables	Tables 8-11 and PAN leaderboard; each named classifier/calibration state has at least one AUROC >=0.93, but calibration and OOD metrics vary
2607.17382	2607.17382:modernbert-large-mcgrad	DACTYL ModernBERT-large with MCGrad	primary_result	Primary PDF full text and all main/appendix result tables	Tables 8-11 and PAN leaderboard; each named classifier/calibration state has at least one AUROC >=0.93, but calibration and OOD metrics vary
2607.17382	2607.17382:deberta-v3-large	DACTYL DeBERTa-v3-large	primary_result	Primary PDF full text and all main/appendix result tables	Tables 8-11 and PAN leaderboard; each named classifier/calibration state has at least one AUROC >=0.93, but calibration and OOD metrics vary
2607.14967	2607.14967:gtcl-nomic	GTCL with Nomic embeddings	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 10; GTCL with both named embedding backbones and the DeTeCtive, Desklib, and TMR comparison rows each have a threshold metric >=0.90 on a reported slice
2607.14967	2607.14967:gtcl-jina	GTCL with Jina embeddings	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 10; GTCL with both named embedding backbones and the DeTeCtive, Desklib, and TMR comparison rows each have a threshold metric >=0.90 on a reported slice
2607.14967	2607.14967:detective	DeTeCtive	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 10; GTCL with both named embedding backbones and the DeTeCtive, Desklib, and TMR comparison rows each have a threshold metric >=0.90 on a reported slice
2607.14967	2607.14967:desklib	Desklib	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 10; GTCL with both named embedding backbones and the DeTeCtive, Desklib, and TMR comparison rows each have a threshold metric >=0.90 on a reported slice
2607.14967	2607.14967:tmr	TMR	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 10; GTCL with both named embedding backbones and the DeTeCtive, Desklib, and TMR comparison rows each have a threshold metric >=0.90 on a reported slice
2607.14905	2607.14905:longformer	Longformer text-only baseline	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-3 and 7-8; Longformer reaches 0.97/0.96 F1 in same-version original text, while each named reasoning-graph architecture is separately evaluated and claimed more robust/better across obfuscation or cross-version slices
2607.14905	2607.14905:gcn	Reasoning-graph GCN	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-3 and 7-8; Longformer reaches 0.97/0.96 F1 in same-version original text, while each named reasoning-graph architecture is separately evaluated and claimed more robust/better across obfuscation or cross-version slices
2607.14905	2607.14905:gat	Reasoning-graph GAT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-3 and 7-8; Longformer reaches 0.97/0.96 F1 in same-version original text, while each named reasoning-graph architecture is separately evaluated and claimed more robust/better across obfuscation or cross-version slices
2607.14905	2607.14905:graph-transformer	Reasoning-graph Transformer	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-3 and 7-8; Longformer reaches 0.97/0.96 F1 in same-version original text, while each named reasoning-graph architecture is separately evaluated and claimed more robust/better across obfuscation or cross-version slices
2607.14905	2607.14905:gps	Reasoning-graph GPS	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-3 and 7-8; Longformer reaches 0.97/0.96 F1 in same-version original text, while each named reasoning-graph architecture is separately evaluated and claimed more robust/better across obfuscation or cross-version slices
2607.03680	2607.03680:vanilla-large	Vanilla RoBERTa-large detector	primary_result	Primary PDF full text and all main/appendix result tables	Tables 6-13; every named vanilla, FOMAML+LoRA, or ensemble state exceeds 0.90 AUROC on a within-MAGE or transfer slice, while low-FPR transfer is weaker
2607.03680	2607.03680:fomaml-lora	FOMAML+LoRA target-adapted detector	primary_result	Primary PDF full text and all main/appendix result tables	Tables 6-13; every named vanilla, FOMAML+LoRA, or ensemble state exceeds 0.90 AUROC on a within-MAGE or transfer slice, while low-FPR transfer is weaker
2607.03680	2607.03680:confidence-ensemble	Confidence-weighted vanilla/FOMAML ensemble	primary_result	Primary PDF full text and all main/appendix result tables	Tables 6-13; every named vanilla, FOMAML+LoRA, or ensemble state exceeds 0.90 AUROC on a within-MAGE or transfer slice, while low-FPR transfer is weaker
2606.31074	2606.31074:raidar	RAIDAR	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:binoculars	Binoculars	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:triospect-binoculars	Triospect-Binoculars	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:imbd	ImBD	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:triospect-imbd	Triospect-ImBD	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:fastdetectgpt	FastDetectGPT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:triospect-fastdetectgpt	Triospect-FastDetectGPT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:triospect-fd-qwen200	Triospect-FastDetectGPT Qwen max-tokens 200	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.31074	2606.31074:triospect-fd-gpt4o200	Triospect-FastDetectGPT GPT-4o max-tokens 200	primary_result	Primary PDF full text and all main/appendix result tables	Tables 3 and 5; every listed baseline, Triospect/base pairing, or named proxy/token-budget state has AUROC >=0.90 on at least one reported pre-attack, attacked, or efficiency slice
2606.23336	2606.23336:base	WaveDetect-base	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-3; both WaveDetect states exceed 0.90 on paper rows, while the separately frozen public-state screen is 0.8906 AUROC
2606.23336	2606.23336:all	WaveDetect-all	primary_result	Primary PDF full text and all main/appendix result tables	Tables 1-3; both WaveDetect states exceed 0.90 on paper rows, while the separately frozen public-state screen is 0.8906 AUROC
2606.18946	2606.18946:poger	POGER	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:seqxgpt	SeqXGPT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:sendetex	SenDetEX	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:senflow	SenFlow	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:senflow-no-gcn	SenFlow without GCN	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:senflow-no-crf	SenFlow without CRF	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:senflow-no-cl	SenFlow without contrastive learning	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.18946	2606.18946:senflow-no-tcn	SenFlow without TCN	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2 and 5; POGER AUC 0.938, SeqXGPT up to 0.950, SenDetEX macro F1 0.924, SenFlow 0.940, and each named SenFlow ablation has macro F1 0.922-0.935
2606.07313	2606.07313:gpt-neo-logreg-all	SV-Detect GPT-Neo-2.7B LogReg/all	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:gpt-neo-logreg-trimmed	SV-Detect GPT-Neo-2.7B LogReg/trimmed	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:qwen3-1.7b	SV-Detect Qwen3-1.7B	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:qwen3-1.7b-base	SV-Detect Qwen3-1.7B-Base	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:gemma3-1b-pt	SV-Detect Gemma3-1B pretrained	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:gemma3-1b-it	SV-Detect Gemma3-1B instruction-tuned	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:llama2-mean-all	SV-Detect Llama-2-7B Mean/all	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:llama2-mean-trimmed	SV-Detect Llama-2-7B Mean/trimmed	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:llama2-logreg-all	SV-Detect Llama-2-7B LogReg/all	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.07313	2606.07313:llama2-logreg-trimmed	SV-Detect Llama-2-7B LogReg/trimmed	primary_result	Primary PDF full text and all main/appendix result tables	backbone Table 2 and COLING Tables 5-6; every row has a development, test, or DetectRL AUROC >=0.90, while official COLING F1 can be 0.740
2606.04906	2606.04906:pangram	Pangram	embedded_result	AITDNA document-level mixed-authorship notion	0.932 F1 with 0.155 FPR
2606.04906	2606.04906:gptzero	GPTZero	embedded_result	AITDNA document-level mixed-authorship notion	0.908 F1 with 0.115 FPR
2606.04177	2606.04177:mage-longformer	MAGE Longformer	embedded_result	Table 2 MAGE baselines	0.990 in-domain and 0.940 unseen-domain/model AUROC in aggregate comparison
2606.04177	2606.04177:linguistic-svm	Linguistic-feature SVM	primary_result	Primary PDF full text and all main/appendix result tables	Tables 2-15; the proposed linguistic-feature SVM reaches AUROC 0.968 in-domain and 0.907-0.945 in held-out settings, while the distinct MAGE baseline remains separately embedded
2606.02158	2606.02158:uncertainty	Uncertainty	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-6 and 12-16; both scores exceed 0.90 AUROC on at least one domain/model cell, with lower paraphrase/cross-domain averages
2606.02158	2606.02158:uncertainty-plus	Uncertainty++	primary_result	Primary PDF full text and all main/appendix result tables	Tables 4-6 and 12-16; both scores exceed 0.90 AUROC on at least one domain/model cell, with lower paraphrase/cross-domain averages
2606.00402	2606.00402:l2d-knockoff	Knockoff-calibrated L2D	primary_result	Primary PDF full text and all main/appendix result tables	Table 2; L2D and ImBD knockoff variants have detection power >=0.90 on at least one generator/q cell; power is not document AUROC
2606.00402	2606.00402:imbd-knockoff	Knockoff-calibrated ImBD	primary_result	Primary PDF full text and all main/appendix result tables	Table 2; L2D and ImBD knockoff variants have detection power >=0.90 on at least one generator/q cell; power is not document AUROC
2605.27921	2605.27921:tell	TELL	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7; TELL, MAGE, and Pangram EditLens exceed 0.90 aggregate AUROC, while ten additional named comparators cross 0.90 only on a domain slice and remain much weaker in aggregate
2605.27921	2605.27921:mage	MAGE classifier	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7; TELL, MAGE, and Pangram EditLens exceed 0.90 aggregate AUROC, while ten additional named comparators cross 0.90 only on a domain slice and remain much weaker in aggregate
2605.27921	2605.27921:pangram-editlens	Pangram EditLens	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7; TELL, MAGE, and Pangram EditLens exceed 0.90 aggregate AUROC, while ten additional named comparators cross 0.90 only on a domain slice and remain much weaker in aggregate
2605.27921	2605.27921:fastdetectgpt	FastDetectGPT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.8609, but per-domain AUROC reaches 0.965 on educational web, 0.919 on email, 0.986 on finance, and 0.914 on student essays.
2605.27921	2605.27921:argugpt	ArguGPT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.8281, but per-domain AUROC reaches 0.926 on educational web, 0.989 on email, 0.997 on finance, and 0.990 on student essays.
2605.27921	2605.27921:t5-sentinel	T5-Sentinel	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.8020, but per-domain AUROC reaches 1.000 on web text and 0.948 on student essays.
2605.27921	2605.27921:detectllm-npr	DetectLLM-NPR	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7824, but per-domain AUROC reaches 0.956 on email, 0.987 on finance, and 0.967 on student essays.
2605.27921	2605.27921:openai-roberta	OpenAI RoBERTa	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7770, but per-domain AUROC reaches 0.986 on finance and 0.945 on student essays.
2605.27921	2605.27921:aigc-mpu	AIGC MPU	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7741, but per-domain AUROC reaches 0.947 on educational web, 0.991 on email, and 0.979 on student essays.
2605.27921	2605.27921:detectllm-lrr	DetectLLM-LRR	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7627, but per-domain AUROC reaches 0.931 on email, 0.976 on finance, and 0.909 on student essays.
2605.27921	2605.27921:logrank-gpt2-medium	LogRank GPT-2-medium	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7573, but per-domain AUROC reaches 0.943 on email, 0.981 on finance, and 0.941 on student essays.
2605.27921	2605.27921:radar	RADAR	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.7441, but per-domain AUROC reaches 0.956 on educational web, 0.913 on encyclopedic reference, and 0.919 on student essays.
2605.27921	2605.27921:chatgpt-d	ChatGPT-D	primary_result	Primary PDF full text and all main/appendix result tables	Tables 5 and 7: aggregate AUROC is 0.6972, but the finance-domain AUROC is 1.000.
2605.25281	2605.25281:grpo-noncot	READER GRPO non-CoT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 17-18; both GRPO prompting states exceed 0.90 accuracy on at least one in-domain or OOD aggregate; base/SFT rows do not qualify
2605.25281	2605.25281:grpo-cot	READER GRPO CoT	primary_result	Primary PDF full text and all main/appendix result tables	Tables 17-18; both GRPO prompting states exceed 0.90 accuracy on at least one in-domain or OOD aggregate; base/SFT rows do not qualify
2605.20761	2605.20761:sarang	Sarang	embedded_result	Counter Turing Test Task A leaderboard	1.0000 weighted F1
2605.20761	2605.20761:dakiet	Dakiet	embedded_result	Counter Turing Test Task A leaderboard	0.9999 weighted F1
2605.20761	2605.20761:tesla	Tesla	embedded_result	Counter Turing Test Task A leaderboard	0.9962 weighted F1
2605.20761	2605.20761:skdu	SKDU	embedded_result	Counter Turing Test Task A leaderboard	0.9945 weighted F1
2605.20761	2605.20761:drocks	Drocks	embedded_result	Counter Turing Test Task A leaderboard	0.9941 weighted F1
2605.20761	2605.20761:llama-mamba	Llama_Mamba	embedded_result	Counter Turing Test Task A leaderboard	0.9880 weighted F1
2605.20761	2605.20761:ai-blues	AI_Blues	embedded_result	Counter Turing Test Task A leaderboard	0.9547 weighted F1
2605.20761	2605.20761:nlp-great	NLP_great	embedded_result	Counter Turing Test Task A leaderboard	0.9157 weighted F1
2605.16107	2605.16107:likelihood-m	Likelihood-M	primary_result	Primary PDF full text and all main/appendix result tables	Tables II-III and transfer/attack figures; each -M or -Mult state has at least one AUROC or TPR@1%FPR >=0.90, with sharply varying averages
2605.16107	2605.16107:likelihood-mult	Likelihood-Mult	primary_result	Primary PDF full text and all main/appendix result tables	Tables II-III and transfer/attack figures; each -M or -Mult state has at least one AUROC or TPR@1%FPR >=0.90, with sharply varying averages
2605.16107	2605.16107:logrank-m	Log-Rank-M	primary_result	Primary PDF full text and all main/appendix result tables	Tables II-III and transfer/attack figures; each -M or -Mult state has at least one AUROC or TPR@1%FPR >=0.90, with sharply varying averages
