Progress(completed_rows=8, total_rows=4907, last_row_index=7)
Progress(completed_rows=1472, total_rows=4907, last_row_index=1485)
Progress(completed_rows=1480, total_rows=4907, last_row_index=1493)
Progress(completed_rows=1488, total_rows=4907, last_row_index=1501)
Progress(completed_rows=1496, total_rows=4907, last_row_index=1510)
Progress(completed_rows=1504, total_rows=4907, last_row_index=1518)
Progress(completed_rows=1512, total_rows=4907, last_row_index=1526)
Progress(completed_rows=1520, total_rows=4907, last_row_index=1534)
Progress(completed_rows=1528, total_rows=4907, last_row_index=1542)
Progress(completed_rows=1536, total_rows=4907, last_row_index=1550)
Progress(completed_rows=1544, total_rows=4907, last_row_index=1558)
Progress(completed_rows=1552, total_rows=4907, last_row_index=1566)
Progress(completed_rows=1560, total_rows=4907, last_row_index=1574)
Progress(completed_rows=1568, total_rows=4907, last_row_index=1582)
Progress(completed_rows=1576, total_rows=4907, last_row_index=1590)
Progress(completed_rows=1584, total_rows=4907, last_row_index=1598)
Progress(completed_rows=1592, total_rows=4907, last_row_index=1606)
Progress(completed_rows=1600, total_rows=4907, last_row_index=1614)
Progress(completed_rows=1608, total_rows=4907, last_row_index=1622)
Progress(completed_rows=1616, total_rows=4907, last_row_index=1630)
Progress(completed_rows=1624, total_rows=4907, last_row_index=1638)
Progress(completed_rows=1632, total_rows=4907, last_row_index=1646)
Progress(completed_rows=1640, total_rows=4907, last_row_index=1654)
Progress(completed_rows=1648, total_rows=4907, last_row_index=1662)
Progress(completed_rows=1656, total_rows=4907, last_row_index=1670)
Progress(completed_rows=1664, total_rows=4907, last_row_index=1678)
Progress(completed_rows=1672, total_rows=4907, last_row_index=1686)
Progress(completed_rows=1680, total_rows=4907, last_row_index=1694)
Progress(completed_rows=1688, total_rows=4907, last_row_index=1702)
Progress(completed_rows=1696, total_rows=4907, last_row_index=1710)
Progress(completed_rows=1704, total_rows=4907, last_row_index=1718)
Progress(completed_rows=1712, total_rows=4907, last_row_index=1726)
Progress(completed_rows=1720, total_rows=4907, last_row_index=1734)
Progress(completed_rows=1728, total_rows=4907, last_row_index=1743)
Progress(completed_rows=1736, total_rows=4907, last_row_index=1751)
Progress(completed_rows=1744, total_rows=4907, last_row_index=1759)
Progress(completed_rows=1752, total_rows=4907, last_row_index=1767)
Progress(completed_rows=1760, total_rows=4907, last_row_index=1775)
Progress(completed_rows=1768, total_rows=4907, last_row_index=1783)
Progress(completed_rows=1776, total_rows=4907, last_row_index=1791)
Progress(completed_rows=1784, total_rows=4907, last_row_index=1799)
Progress(completed_rows=1792, total_rows=4907, last_row_index=1807)
Progress(completed_rows=1800, total_rows=4907, last_row_index=1815)
Progress(completed_rows=1808, total_rows=4907, last_row_index=1823)
Progress(completed_rows=1816, total_rows=4907, last_row_index=1831)
Progress(completed_rows=1824, total_rows=4907, last_row_index=1839)
Progress(completed_rows=1832, total_rows=4907, last_row_index=1847)
Progress(completed_rows=1840, total_rows=4907, last_row_index=1855)
Progress(completed_rows=1848, total_rows=4907, last_row_index=1863)
Progress(completed_rows=1856, total_rows=4907, last_row_index=1872)
Progress(completed_rows=1864, total_rows=4907, last_row_index=1880)
Progress(completed_rows=1872, total_rows=4907, last_row_index=1888)
Progress(completed_rows=1880, total_rows=4907, last_row_index=1896)
Progress(completed_rows=1888, total_rows=4907, last_row_index=1904)
Progress(completed_rows=1896, total_rows=4907, last_row_index=1912)
Progress(completed_rows=1904, total_rows=4907, last_row_index=1920)
Progress(completed_rows=1912, total_rows=4907, last_row_index=1928)
Progress(completed_rows=1920, total_rows=4907, last_row_index=1936)
Progress(completed_rows=1928, total_rows=4907, last_row_index=1944)
Progress(completed_rows=1936, total_rows=4907, last_row_index=1952)
Progress(completed_rows=1944, total_rows=4907, last_row_index=1960)
Progress(completed_rows=1952, total_rows=4907, last_row_index=1968)
Progress(completed_rows=1960, total_rows=4907, last_row_index=1976)
Progress(completed_rows=1968, total_rows=4907, last_row_index=1984)
Progress(completed_rows=1976, total_rows=4907, last_row_index=1992)
Progress(completed_rows=1984, total_rows=4907, last_row_index=2000)
Progress(completed_rows=1992, total_rows=4907, last_row_index=2008)
Progress(completed_rows=2000, total_rows=4907, last_row_index=2016)
Progress(completed_rows=2008, total_rows=4907, last_row_index=2024)
Progress(completed_rows=2016, total_rows=4907, last_row_index=2032)
Progress(completed_rows=2024, total_rows=4907, last_row_index=2040)
Progress(completed_rows=2032, total_rows=4907, last_row_index=2048)
Progress(completed_rows=2040, total_rows=4907, last_row_index=2056)
Progress(completed_rows=2048, total_rows=4907, last_row_index=2064)
Progress(completed_rows=2056, total_rows=4907, last_row_index=2072)
Progress(completed_rows=2064, total_rows=4907, last_row_index=2080)
Progress(completed_rows=2072, total_rows=4907, last_row_index=2088)
Progress(completed_rows=2080, total_rows=4907, last_row_index=2096)
Progress(completed_rows=2088, total_rows=4907, last_row_index=2104)
Progress(completed_rows=2096, total_rows=4907, last_row_index=2112)
Progress(completed_rows=2104, total_rows=4907, last_row_index=2120)
Progress(completed_rows=2112, total_rows=4907, last_row_index=2128)
Progress(completed_rows=2120, total_rows=4907, last_row_index=2136)
Progress(completed_rows=2128, total_rows=4907, last_row_index=2144)
Progress(completed_rows=2136, total_rows=4907, last_row_index=2152)
Progress(completed_rows=2144, total_rows=4907, last_row_index=2160)
Progress(completed_rows=2152, total_rows=4907, last_row_index=2168)
Progress(completed_rows=2160, total_rows=4907, last_row_index=2176)
Progress(completed_rows=2168, total_rows=4907, last_row_index=2184)
Progress(completed_rows=2176, total_rows=4907, last_row_index=2192)
Progress(completed_rows=2184, total_rows=4907, last_row_index=2200)
Progress(completed_rows=2192, total_rows=4907, last_row_index=2208)
Progress(completed_rows=2200, total_rows=4907, last_row_index=2216)
Progress(completed_rows=2208, total_rows=4907, last_row_index=2224)
Progress(completed_rows=2216, total_rows=4907, last_row_index=2232)
Progress(completed_rows=2224, total_rows=4907, last_row_index=2240)
Progress(completed_rows=2232, total_rows=4907, last_row_index=2248)
Progress(completed_rows=2240, total_rows=4907, last_row_index=2256)
Progress(completed_rows=2248, total_rows=4907, last_row_index=2264)
Progress(completed_rows=2256, total_rows=4907, last_row_index=2272)
Progress(completed_rows=2264, total_rows=4907, last_row_index=2280)
Progress(completed_rows=2272, total_rows=4907, last_row_index=2288)
Progress(completed_rows=2280, total_rows=4907, last_row_index=2296)
Progress(completed_rows=2288, total_rows=4907, last_row_index=2304)
Progress(completed_rows=2296, total_rows=4907, last_row_index=2312)
Progress(completed_rows=2304, total_rows=4907, last_row_index=2320)
Progress(completed_rows=2312, total_rows=4907, last_row_index=2328)
Progress(completed_rows=2320, total_rows=4907, last_row_index=2336)
Progress(completed_rows=2328, total_rows=4907, last_row_index=2344)
Progress(completed_rows=2336, total_rows=4907, last_row_index=2352)
Progress(completed_rows=2344, total_rows=4907, last_row_index=2360)
Progress(completed_rows=2352, total_rows=4907, last_row_index=2368)
Progress(completed_rows=2360, total_rows=4907, last_row_index=2376)
Progress(completed_rows=2368, total_rows=4907, last_row_index=2384)
Progress(completed_rows=2376, total_rows=4907, last_row_index=2392)
Progress(completed_rows=2384, total_rows=4907, last_row_index=2400)
Progress(completed_rows=2392, total_rows=4907, last_row_index=2408)
Progress(completed_rows=2400, total_rows=4907, last_row_index=2416)
Progress(completed_rows=2408, total_rows=4907, last_row_index=2424)
Progress(completed_rows=2416, total_rows=4907, last_row_index=2432)
Progress(completed_rows=2424, total_rows=4907, last_row_index=2440)
Progress(completed_rows=2432, total_rows=4907, last_row_index=2448)
Progress(completed_rows=2440, total_rows=4907, last_row_index=2456)
Progress(completed_rows=2448, total_rows=4907, last_row_index=2464)
Progress(completed_rows=2456, total_rows=4907, last_row_index=2472)
Progress(completed_rows=2464, total_rows=4907, last_row_index=2480)
Progress(completed_rows=2472, total_rows=4907, last_row_index=2488)
Progress(completed_rows=2480, total_rows=4907, last_row_index=2496)
Progress(completed_rows=2488, total_rows=4907, last_row_index=2504)
Progress(completed_rows=2496, total_rows=4907, last_row_index=2512)
Progress(completed_rows=2504, total_rows=4907, last_row_index=2520)
Progress(completed_rows=2512, total_rows=4907, last_row_index=2528)
Progress(completed_rows=2520, total_rows=4907, last_row_index=2536)
Progress(completed_rows=2528, total_rows=4907, last_row_index=2544)
Progress(completed_rows=2536, total_rows=4907, last_row_index=2552)
Progress(completed_rows=2544, total_rows=4907, last_row_index=2560)
Progress(completed_rows=2552, total_rows=4907, last_row_index=2568)
Progress(completed_rows=2560, total_rows=4907, last_row_index=2576)
Progress(completed_rows=2568, total_rows=4907, last_row_index=2584)
Progress(completed_rows=2576, total_rows=4907, last_row_index=2592)
Progress(completed_rows=2584, total_rows=4907, last_row_index=2600)
Progress(completed_rows=2592, total_rows=4907, last_row_index=2608)
Progress(completed_rows=2600, total_rows=4907, last_row_index=2616)
Progress(completed_rows=2608, total_rows=4907, last_row_index=2624)
Progress(completed_rows=2616, total_rows=4907, last_row_index=2632)
Progress(completed_rows=2624, total_rows=4907, last_row_index=2640)
Progress(completed_rows=2632, total_rows=4907, last_row_index=2648)
Progress(completed_rows=2640, total_rows=4907, last_row_index=2656)
Progress(completed_rows=2648, total_rows=4907, last_row_index=2664)
Progress(completed_rows=2656, total_rows=4907, last_row_index=2672)
Progress(completed_rows=2664, total_rows=4907, last_row_index=2680)
Progress(completed_rows=2672, total_rows=4907, last_row_index=2688)
Progress(completed_rows=2680, total_rows=4907, last_row_index=2696)
Progress(completed_rows=2688, total_rows=4907, last_row_index=2704)
Progress(completed_rows=2696, total_rows=4907, last_row_index=2712)
Progress(completed_rows=2704, total_rows=4907, last_row_index=2720)
Progress(completed_rows=2712, total_rows=4907, last_row_index=2728)
Progress(completed_rows=2720, total_rows=4907, last_row_index=2736)
Progress(completed_rows=2728, total_rows=4907, last_row_index=2744)
Progress(completed_rows=2736, total_rows=4907, last_row_index=2752)
Progress(completed_rows=2744, total_rows=4907, last_row_index=2760)
Progress(completed_rows=2752, total_rows=4907, last_row_index=2768)
Progress(completed_rows=2760, total_rows=4907, last_row_index=2776)
Progress(completed_rows=2768, total_rows=4907, last_row_index=2784)
Progress(completed_rows=2776, total_rows=4907, last_row_index=2793)
Progress(completed_rows=2784, total_rows=4907, last_row_index=2801)
Progress(completed_rows=2792, total_rows=4907, last_row_index=2809)
Progress(completed_rows=2800, total_rows=4907, last_row_index=2817)
Progress(completed_rows=2808, total_rows=4907, last_row_index=2826)
Progress(completed_rows=2816, total_rows=4907, last_row_index=2834)
Progress(completed_rows=2824, total_rows=4907, last_row_index=2842)
Progress(completed_rows=2832, total_rows=4907, last_row_index=2851)
Progress(completed_rows=2840, total_rows=4907, last_row_index=2859)
Progress(completed_rows=2848, total_rows=4907, last_row_index=2867)
Progress(completed_rows=2856, total_rows=4907, last_row_index=2875)
Progress(completed_rows=2864, total_rows=4907, last_row_index=2883)
Progress(completed_rows=2872, total_rows=4907, last_row_index=2891)
Progress(completed_rows=2880, total_rows=4907, last_row_index=2899)
Progress(completed_rows=2888, total_rows=4907, last_row_index=2908)
Progress(completed_rows=2896, total_rows=4907, last_row_index=2916)
Progress(completed_rows=2904, total_rows=4907, last_row_index=2924)
Progress(completed_rows=2912, total_rows=4907, last_row_index=2933)
Progress(completed_rows=2920, total_rows=4907, last_row_index=2941)
Progress(completed_rows=2928, total_rows=4907, last_row_index=2949)
Progress(completed_rows=2936, total_rows=4907, last_row_index=2957)
Progress(completed_rows=2944, total_rows=4907, last_row_index=2965)
Progress(completed_rows=2952, total_rows=4907, last_row_index=2973)
Progress(completed_rows=2960, total_rows=4907, last_row_index=2981)
Progress(completed_rows=2968, total_rows=4907, last_row_index=2989)
Progress(completed_rows=2976, total_rows=4907, last_row_index=2997)
Progress(completed_rows=2984, total_rows=4907, last_row_index=3005)
Progress(completed_rows=2992, total_rows=4907, last_row_index=3013)
Progress(completed_rows=3000, total_rows=4907, last_row_index=3021)
Progress(completed_rows=3008, total_rows=4907, last_row_index=3029)
Progress(completed_rows=3016, total_rows=4907, last_row_index=3037)
Progress(completed_rows=3024, total_rows=4907, last_row_index=3045)
Progress(completed_rows=3032, total_rows=4907, last_row_index=3053)
Progress(completed_rows=3040, total_rows=4907, last_row_index=3061)
Progress(completed_rows=3048, total_rows=4907, last_row_index=3069)
Progress(completed_rows=3056, total_rows=4907, last_row_index=3077)
Progress(completed_rows=3064, total_rows=4907, last_row_index=3085)
Progress(completed_rows=3072, total_rows=4907, last_row_index=3093)
Progress(completed_rows=3080, total_rows=4907, last_row_index=3101)
Progress(completed_rows=3088, total_rows=4907, last_row_index=3109)
Progress(completed_rows=3096, total_rows=4907, last_row_index=3117)
Progress(completed_rows=3104, total_rows=4907, last_row_index=3125)
Progress(completed_rows=3112, total_rows=4907, last_row_index=3133)
Progress(completed_rows=3120, total_rows=4907, last_row_index=3141)
Progress(completed_rows=3128, total_rows=4907, last_row_index=3149)
Progress(completed_rows=3136, total_rows=4907, last_row_index=3157)
Progress(completed_rows=3144, total_rows=4907, last_row_index=3165)
Progress(completed_rows=3152, total_rows=4907, last_row_index=3173)
Progress(completed_rows=3160, total_rows=4907, last_row_index=3181)
Progress(completed_rows=3168, total_rows=4907, last_row_index=3189)
Progress(completed_rows=3176, total_rows=4907, last_row_index=3197)
Progress(completed_rows=3184, total_rows=4907, last_row_index=3205)
Progress(completed_rows=3192, total_rows=4907, last_row_index=3213)
Progress(completed_rows=3200, total_rows=4907, last_row_index=3221)
Progress(completed_rows=3208, total_rows=4907, last_row_index=3229)
Progress(completed_rows=3216, total_rows=4907, last_row_index=3237)
Progress(completed_rows=3224, total_rows=4907, last_row_index=3245)
Progress(completed_rows=3232, total_rows=4907, last_row_index=3253)
Progress(completed_rows=3240, total_rows=4907, last_row_index=3261)
Progress(completed_rows=3248, total_rows=4907, last_row_index=3269)
Progress(completed_rows=3256, total_rows=4907, last_row_index=3277)
Progress(completed_rows=3264, total_rows=4907, last_row_index=3285)
Progress(completed_rows=3272, total_rows=4907, last_row_index=3293)
Progress(completed_rows=3280, total_rows=4907, last_row_index=3301)
Progress(completed_rows=3288, total_rows=4907, last_row_index=3309)
Progress(completed_rows=3296, total_rows=4907, last_row_index=3317)
Progress(completed_rows=3304, total_rows=4907, last_row_index=3326)
Progress(completed_rows=3312, total_rows=4907, last_row_index=3334)
Progress(completed_rows=3320, total_rows=4907, last_row_index=3342)
Progress(completed_rows=3328, total_rows=4907, last_row_index=3351)
Progress(completed_rows=3336, total_rows=4907, last_row_index=3359)
Progress(completed_rows=3344, total_rows=4907, last_row_index=3367)
Progress(completed_rows=3352, total_rows=4907, last_row_index=3375)
Progress(completed_rows=3360, total_rows=4907, last_row_index=3383)
Progress(completed_rows=3368, total_rows=4907, last_row_index=3392)
Progress(completed_rows=3376, total_rows=4907, last_row_index=3400)
Progress(completed_rows=3384, total_rows=4907, last_row_index=3408)
Progress(completed_rows=3392, total_rows=4907, last_row_index=3416)
Progress(completed_rows=3400, total_rows=4907, last_row_index=3424)
Progress(completed_rows=3408, total_rows=4907, last_row_index=3432)
Progress(completed_rows=3416, total_rows=4907, last_row_index=3440)
Progress(completed_rows=3424, total_rows=4907, last_row_index=3448)
Progress(completed_rows=3432, total_rows=4907, last_row_index=3457)
Progress(completed_rows=3440, total_rows=4907, last_row_index=3465)
Progress(completed_rows=3448, total_rows=4907, last_row_index=3473)
Progress(completed_rows=3456, total_rows=4907, last_row_index=3483)
Progress(completed_rows=3464, total_rows=4907, last_row_index=3492)
Progress(completed_rows=3472, total_rows=4907, last_row_index=3506)
Progress(completed_rows=3480, total_rows=4907, last_row_index=3514)
Progress(completed_rows=3488, total_rows=4907, last_row_index=3533)
Progress(completed_rows=3496, total_rows=4907, last_row_index=3584)
Progress(completed_rows=3504, total_rows=4907, last_row_index=3651)
Progress(completed_rows=3512, total_rows=4907, last_row_index=3695)
Progress(completed_rows=3520, total_rows=4907, last_row_index=3762)
Progress(completed_rows=3528, total_rows=4907, last_row_index=3777)
Progress(completed_rows=3536, total_rows=4907, last_row_index=3792)
Progress(completed_rows=3544, total_rows=4907, last_row_index=3800)
Progress(completed_rows=3552, total_rows=4907, last_row_index=3822)
Progress(completed_rows=3560, total_rows=4907, last_row_index=3840)
Progress(completed_rows=3568, total_rows=4907, last_row_index=3851)
Progress(completed_rows=3576, total_rows=4907, last_row_index=3861)
Progress(completed_rows=3584, total_rows=4907, last_row_index=3872)
Progress(completed_rows=3592, total_rows=4907, last_row_index=3880)
Progress(completed_rows=3600, total_rows=4907, last_row_index=3888)
Progress(completed_rows=3608, total_rows=4907, last_row_index=3898)
Progress(completed_rows=3616, total_rows=4907, last_row_index=3906)
Progress(completed_rows=3624, total_rows=4907, last_row_index=3915)
Progress(completed_rows=3632, total_rows=4907, last_row_index=3923)
Progress(completed_rows=3640, total_rows=4907, last_row_index=3931)
Progress(completed_rows=3648, total_rows=4907, last_row_index=3939)
Progress(completed_rows=3656, total_rows=4907, last_row_index=3947)
Progress(completed_rows=3664, total_rows=4907, last_row_index=3955)
